dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
Breast Cancer (low redundancy),ElliotFS,13,2065,1.0,0.9370629370629371,85,4,49,5,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,14,2367,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,14,2367,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,14,2367,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,14,2367,1.0,0.9370629370629371,88,7,46,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,14,2367,1.0,0.9370629370629371,88,7,46,2,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,15,9368,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,15,9368,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,15,9368,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,15,9368,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,15,9368,1.0,0.9790209790209791,89,2,51,1,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,16,325,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,16,325,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,16,325,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,16,325,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,16,325,1.0,0.965034965034965,87,2,51,3,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,17,5024,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,17,5024,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,17,5024,1.0,0.958041958041958,89,5,48,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,17,5024,1.0,0.9300699300699301,85,5,48,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,17,5024,1.0,0.9300699300699301,85,5,48,5,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,18,8360,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,18,8360,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,18,8360,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,18,8360,1.0,0.951048951048951,88,5,48,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,18,8360,1.0,0.958041958041958,88,4,49,2,2,30,9,None,0.8,0.25,1.0
Breast Cancer (low redundancy),Baseline,19,3950,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,19,3950,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,19,3950,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,19,3950,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,19,3950,1.0,0.9440559440559441,86,4,49,4,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,20,6774,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,20,6774,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,20,6774,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,20,6774,1.0,0.9370629370629371,87,6,47,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,20,6774,1.0,0.951048951048951,88,5,48,2,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,21,9838,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,21,9838,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,21,9838,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,21,9838,1.0,0.9370629370629371,87,6,47,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,21,9838,1.0,0.965034965034965,90,5,48,0,2,30,8,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,22,9935,1.0,0.9300699300699301,86,6,47,4,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,22,9935,1.0,0.9300699300699301,86,6,47,4,2,30,30,,,,
Breast Cancer (low redundancy),RFE,22,9935,1.0,0.9300699300699301,86,6,47,4,2,30,30,,,,
Breast Cancer (low redundancy),L1,22,9935,1.0,0.916083916083916,85,7,46,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,22,9935,1.0,0.9300699300699301,85,5,48,5,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,23,6274,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,23,6274,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,23,6274,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,23,6274,1.0,0.9300699300699301,86,6,47,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,23,6274,1.0,0.9300699300699301,86,6,47,4,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,24,2291,1.0,0.9300699300699301,88,8,45,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,24,2291,1.0,0.9300699300699301,88,8,45,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,24,2291,1.0,0.9300699300699301,88,8,45,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,24,2291,1.0,0.9230769230769231,87,8,45,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,24,2291,1.0,0.9300699300699301,88,8,45,2,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,25,3462,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,25,3462,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,25,3462,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,25,3462,1.0,0.9440559440559441,88,6,47,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,25,3462,1.0,0.958041958041958,89,5,48,1,2,30,8,None,0.8,0.25,2.0
Breast Cancer (low redundancy),Baseline,26,645,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,26,645,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,26,645,1.0,0.9440559440559441,89,7,46,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,26,645,1.0,0.9370629370629371,88,7,46,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,26,645,1.0,0.9440559440559441,89,7,46,1,2,30,8,None,0.8,0.25,1.0
Breast Cancer (low redundancy),Baseline,27,4254,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,27,4254,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,27,4254,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,27,4254,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,27,4254,1.0,0.965034965034965,86,1,52,4,2,30,7,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,28,4664,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,28,4664,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,28,4664,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
